51.1277617,17.1070973
51.0953193,16.984349
51.0713552,16.9677705
51.1241465,17.05529
51.1089103,16.8926565
51.1128569,17.0935917
51.1033848,17.0345594
51.161017,17.1284951
51.158368,16.9368611
51.1292859,16.9648409
51.1353713,17.0606967
51.0745725,17.0919928
51.1554231,17.1248512
51.1434574,16.8987005
51.1372242,16.8946462
51.132156,17.1100757
51.0576418,17.0182441
51.0986269,17.1107863
51.1540754,16.9059884
51.1480324,16.9845831
51.1152759,17.0690219
51.15176665,16.91122145
51.1256493,17.0547716
51.075365,17.0398639
51.1133586,16.9534902
51.1026592,17.0503129
51.1245569,17.0720214
51.0623632,16.97586
51.1548605,16.8911917
51.1439897,16.8989634
51.0525894,17.031434
51.1531606,16.9322449
51.1004949,17.0320177
51.1670328,17.1033103
51.1064909,17.1078305
51.1080507,17.0263355
51.0998156,16.942995
51.1497395,16.9437335
51.0523131,17.0656548
51.1087327,17.0375225
51.1508502,16.8670363
51.093155100000004,17.03673102070613
51.1396347,17.0403097
51.0567293,17.0339533
51.1019202,17.0275068
51.0658592,16.9800211
51.1145829,16.9716203
51.1488255,16.8604798
51.0632942,17.0661952
51.0587745,17.0427439
51.0619518,17.0248248
51.1157912,17.1149975
51.1329396,16.896188
51.1643385,17.0357238
51.1067721,17.138903807894735
51.175931,17.0018944
51.1513341,17.0739955
51.1498721,16.9405579
51.1065105,17.1075568
51.067576700000004,17.012168965216024
51.1410548,17.0439407
51.1347354,17.0378841
51.1598046,16.9427062
51.1362458,16.8848595
51.0824997,17.0807405
51.0964497,17.031087346538122
51.1299982,17.106886
51.0770052,16.959688
51.1234085,17.026962223144736
51.1469554,16.9024133
51.077539349999995,17.019490429898646
51.1393873,17.0607628
51.138534,16.9591324
51.0537047,17.087958114880923
51.107412,17.1255515
51.0773303,17.0206202
51.1550291,16.8565132
51.1103506,16.9978841
51.0742428,17.0952317
51.1775254,17.0001233
51.1127556,17.1023764
51.1178233,17.0304765
51.1354466,17.0510139
51.11138455,17.10392828056191
51.0564219,17.0082394
51.1409285,17.1306621
51.1519339,17.1170119
51.0532767,17.019391957474234
51.12464425,16.870036225744215
51.062803200000005,17.067085956413727
51.1732573,17.0020989
51.1534592,16.929409147546657
51.0849142,17.000210894604315
51.0905301,17.0377572
51.144352,16.893256
51.11904625,16.869663850000002
51.1408065,16.9948315
51.1199905,17.0832036
51.1116912,17.0345206
51.2004493,16.973262
51.0977762,16.9504632
51.1343876,16.8932465
51.1111862,17.0149834
51.1414924,16.961518
51.161112200000005,16.877385458515228
51.1659758,17.1285057
51.0675552,17.0012925
51.058449949999996,17.037391071376494
51.1266006,16.9438274
51.0541747,17.0866133
51.0997227,17.000168
51.075391249999996,17.08397244544389
51.1369144,17.0179475
51.14034145,16.87495450296135
51.1204471,16.9232552
51.1573981,16.895714676432174
51.1131023,16.9926532
51.1047459,16.9663692
51.1546652,16.8924848
51.1075076,17.0668562
51.1342385,17.0595933
51.0738144,16.9915157
51.1990355,16.9741634
51.0518951,17.031238
51.1026199,17.1074811
51.1411298,16.9221887
51.0640301,17.0658233
51.1591419,16.9249912
51.159096,17.1250992
51.1187652,16.9480813
51.1050054,17.1064791
51.0658271,17.0154586
51.1046895,17.0067925
51.1690951,16.9964248
51.1216849,17.073700105278764
51.0652789,17.0095287
51.1226385,16.9970944
51.091746099999995,16.992720588207547
51.1172427,17.0134337
51.0650242,17.0102285
51.0591728,17.0284179
51.1051702,16.969682
51.101144,17.15555
51.1352291,16.9555213
51.1492488,16.8868776
51.1356021,17.0273701
51.1001391,17.160293170178726
51.1447574,16.8925141
51.1491357,16.9358378
51.0809532,16.9926775
51.1014255,17.0173067
51.0926306,17.016230884253197
51.1579156,17.1262851
51.133239,16.9578861
51.1115921,17.1078384
51.065806,16.9902578
51.109718,16.9678071
51.145384199999995,17.11820090387707
51.1686196,16.8988767
51.0629887,16.9787277
51.1493496,16.9345551
51.09144325,17.04337383633672
51.173344,17.0031047
51.1155714,16.9010732
51.1698233,16.8885869
51.0992102,16.9573161
51.0825035,17.0821172
51.1719636,16.9952555
51.1224741,16.9654242
51.0530028,17.0833561
51.0954139,17.0369121
51.1545709,16.9473825
51.0679674,17.0982682
51.1662487,17.1086501
51.1094081,17.0647218
